time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577840581.89943910,0.00640497,0.00457093,-nan,2735.00000000,0.00640497,0.000000,0.000000
1577840581.99928594,0.00569876,0.00389529,-nan,4791.00000000,0.00499256,0.000000,0.000000
1577840582.09991717,0.00588093,0.00456066,-nan,3705.00000000,0.00624527,0.000000,0.000000
1577840582.19975615,0.00558627,0.00318915,-nan,3321.00000000,0.00470228,0.000000,0.000000
1577840582.29959989,0.00516653,0.00232679,-nan,3360.00000000,0.00348758,0.000000,0.000000
1577840582.39944100,0.00647832,0.00245066,0.00000250,3735.00000000,0.01303727,0.000000,0.000000
1577840582.49967003,0.00733959,0.00230574,0.00000253,3854.00000000,0.01250722,0.000000,0.000000
1577840582.59951115,0.00795102,0.00208121,0.00000246,4047.00000000,0.01223102,0.000000,0.000000
1577840582.69934702,0.00838392,0.00206169,0.00000245,4234.00000000,0.01184710,0.000000,0.000000
1577840582.79999304,0.00891749,0.00192885,0.00000245,4368.00000000,0.01371958,0.000000,0.000000
1577840582.89984107,0.00921181,0.00210006,0.00000258,4499.00000000,0.01215510,0.000000,0.000000
1577840582.99969006,0.00945264,0.00274994,0.00000260,4640.00000000,0.01210176,0.000000,0.000000
1577840583.09953594,0.01043612,0.00472541,0.00000246,4629.00000000,0.02223782,0.000000,0.000000
1577840583.19937110,0.01073511,0.00176242,0.00000230,4444.00000000,0.01462200,0.000000,0.000000
1577840583.29961896,0.01082757,0.00241679,0.00000238,4610.00000000,0.01212207,0.000000,0.000000
1577840583.39946198,0.01079403,0.00205514,0.00000237,4698.00000000,0.01029081,0.000000,0.000000
